Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP Occupation, INCP Total Personal Income (weekly) and AGE10P  Age in Ten Year Groups"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP Occupation","INCP Total Personal Income (weekly)","AGE10P  Age in Ten Year Groups",
,,,"50-59 years",43,
,,"$2,000 or more ($104,000 or more)","20-29 years",5,
,,,"30-39 years",28,
,,,"40-49 years",43,
,,,"50-59 years",44,
,"Aquaculture Farmers","$400-$599 ($20,800-$31,199)","20-29 years",25,
,,,"30-39 years",21,
,,,"40-49 years",40,
,,,"50-59 years",30,
,,"$600-$799 ($31,200-$41,599)","20-29 years",76,
,,,"30-39 years",54,
,,,"40-49 years",53,
,,,"50-59 years",35,
,,"$800-$999 ($41,600-$51,999)","20-29 years",43,
,,,"30-39 years",44,
,,,"40-49 years",40,
,,,"50-59 years",31,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",32,
,,,"30-39 years",56,
,,,"40-49 years",31,
,,,"50-59 years",25,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",14,
,,,"30-39 years",36,
,,,"40-49 years",21,
,,,"50-59 years",9,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",9,
,,,"30-39 years",38,
,,,"40-49 years",33,
,,,"50-59 years",23,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",14,
,,,"40-49 years",31,
,,,"50-59 years",26,
,"Crop Farmers","$400-$599 ($20,800-$31,199)","20-29 years",435,
,,,"30-39 years",601,
,,,"40-49 years",1033,
,,,"50-59 years",1196,
,,"$600-$799 ($31,200-$41,599)","20-29 years",662,
,,,"30-39 years",833,
,,,"40-49 years",1260,
,,,"50-59 years",1247,
,,"$800-$999 ($41,600-$51,999)","20-29 years",452,
,,,"30-39 years",805,
,,,"40-49 years",979,
,,,"50-59 years",1027,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",333,
,,,"30-39 years",757,
,,,"40-49 years",963,
,,,"50-59 years",924,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",157,
,,,"30-39 years",488,
,,,"40-49 years",585,
,,,"50-59 years",492,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",91,
,,,"30-39 years",373,
,,,"40-49 years",531,
,,,"50-59 years",465,
,,"$2,000 or more ($104,000 or more)","20-29 years",51,
,,,"30-39 years",281,
,,,"40-49 years",460,
,,,"50-59 years",487,
,"Livestock Farmers","$400-$599 ($20,800-$31,199)","20-29 years",513,
,,,"30-39 years",960,
,,,"40-49 years",1649,
,,,"50-59 years",2079,
,,"$600-$799 ($31,200-$41,599)","20-29 years",778,
,,,"30-39 years",1088,
,,,"40-49 years",1675,
,,,"50-59 years",1958,
,,"$800-$999 ($41,600-$51,999)","20-29 years",612,
,,,"30-39 years",996,
,,,"40-49 years",1320,
,,,"50-59 years",1583,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",448,
,,,"30-39 years",948,
,,,"40-49 years",1288,
,,,"50-59 years",1335,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",172,
,,,"30-39 years",510,
,,,"40-49 years",711,
,,,"50-59 years",760,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",119,
,,,"30-39 years",373,
,,,"40-49 years",631,
,,,"50-59 years",715,
,,"$2,000 or more ($104,000 or more)","20-29 years",94,
,,,"30-39 years",374,
,,,"40-49 years",767,
,,,"50-59 years",1036,
,"Mixed Crop and Livestock Farmers","$400-$599 ($20,800-$31,199)","20-29 years",392,
,,,"30-39 years",686,
,,,"40-49 years",1029,
,,,"50-59 years",1175,
,,"$600-$799 ($31,200-$41,599)","20-29 years",421,
,,,"30-39 years",689,
,,,"40-49 years",939,
,,,"50-59 years",1037,
,,"$800-$999 ($41,600-$51,999)","20-29 years",284,
,,,"30-39 years",524,
,,,"40-49 years",760,
,,,"50-59 years",827,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",215,
,,,"30-39 years",452,
,,,"40-49 years",638,
,,,"50-59 years",687,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",64,
,,,"30-39 years",259,
,,,"40-49 years",404,
,,,"50-59 years",410,
