Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP Occupation, INCP Total Personal Income (weekly) and AGE10P  Age in Ten Year Groups"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP Occupation","INCP Total Personal Income (weekly)","AGE10P  Age in Ten Year Groups",
,,"$2,000 or more ($104,000 or more)","20-29 years",249,
,,,"30-39 years",1800,
,,,"40-49 years",1898,
,,,"50-59 years",992,
,"ICT Network and Support Professionals nfd","$400-$599 ($20,800-$31,199)","20-29 years",4,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",8,
,,,"30-39 years",4,
,,,"40-49 years",3,
,,,"50-59 years",0,
,,"$800-$999 ($41,600-$51,999)","20-29 years",32,
,,,"30-39 years",16,
,,,"40-49 years",5,
,,,"50-59 years",0,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",31,
,,,"30-39 years",27,
,,,"40-49 years",6,
,,,"50-59 years",4,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",33,
,,,"30-39 years",43,
,,,"40-49 years",18,
,,,"50-59 years",6,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",22,
,,,"30-39 years",64,
,,,"40-49 years",42,
,,,"50-59 years",13,
,,"$2,000 or more ($104,000 or more)","20-29 years",3,
,,,"30-39 years",57,
,,,"40-49 years",61,
,,,"50-59 years",34,
,"Computer Network Professionals","$400-$599 ($20,800-$31,199)","20-29 years",61,
,,,"30-39 years",33,
,,,"40-49 years",24,
,,,"50-59 years",17,
,,"$600-$799 ($31,200-$41,599)","20-29 years",253,
,,,"30-39 years",128,
,,,"40-49 years",48,
,,,"50-59 years",25,
,,"$800-$999 ($41,600-$51,999)","20-29 years",551,
,,,"30-39 years",348,
,,,"40-49 years",144,
,,,"50-59 years",53,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",831,
,,,"30-39 years",816,
,,,"40-49 years",304,
,,,"50-59 years",156,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",770,
,,,"30-39 years",1138,
,,,"40-49 years",561,
,,,"50-59 years",233,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",606,
,,,"30-39 years",2060,
,,,"40-49 years",1209,
,,,"50-59 years",541,
,,"$2,000 or more ($104,000 or more)","20-29 years",268,
,,,"30-39 years",1717,
,,,"40-49 years",1442,
,,,"50-59 years",677,
,"ICT Support and Test Engineers","$400-$599 ($20,800-$31,199)","20-29 years",21,
,,,"30-39 years",7,
,,,"40-49 years",5,
,,,"50-59 years",5,
,,"$600-$799 ($31,200-$41,599)","20-29 years",133,
,,,"30-39 years",55,
,,,"40-49 years",22,
,,,"50-59 years",8,
,,"$800-$999 ($41,600-$51,999)","20-29 years",348,
,,,"30-39 years",222,
,,,"40-49 years",50,
,,,"50-59 years",19,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",454,
,,,"30-39 years",459,
,,,"40-49 years",177,
,,,"50-59 years",64,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",318,
,,,"30-39 years",519,
,,,"40-49 years",236,
,,,"50-59 years",112,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",221,
,,,"30-39 years",658,
,,,"40-49 years",441,
,,,"50-59 years",269,
,,"$2,000 or more ($104,000 or more)","20-29 years",72,
,,,"30-39 years",462,
,,,"40-49 years",400,
,,,"50-59 years",197,
,"Telecommunications Engineering Professionals","$400-$599 ($20,800-$31,199)","20-29 years",29,
,,,"30-39 years",18,
,,,"40-49 years",20,
,,,"50-59 years",4,
,,"$600-$799 ($31,200-$41,599)","20-29 years",73,
,,,"30-39 years",32,
,,,"40-49 years",21,
,,,"50-59 years",17,
,,"$800-$999 ($41,600-$51,999)","20-29 years",165,
,,,"30-39 years",123,
,,,"40-49 years",57,
,,,"50-59 years",40,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",356,
,,,"30-39 years",276,
,,,"40-49 years",141,
,,,"50-59 years",68,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",314,
,,,"30-39 years",417,
,,,"40-49 years",285,
,,,"50-59 years",128,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",383,
,,,"30-39 years",924,
,,,"40-49 years",663,
,,,"50-59 years",345,
,,"$2,000 or more ($104,000 or more)","20-29 years",164,
,,,"30-39 years",951,
,,,"40-49 years",948,
,,,"50-59 years",501,
,"Legal, Social and Welfare Professionals nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",0,
,,,"30-39 years",5,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$800-$999 ($41,600-$51,999)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",3,
,,,"50-59 years",3,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",6,
,,,"30-39 years",5,
,,,"40-49 years",3,
,,,"50-59 years",6,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",5,
,,,"30-39 years",3,
,,,"40-49 years",8,
,,,"50-59 years",3,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",3,
,,,"30-39 years",8,
,,,"40-49 years",7,
,,,"50-59 years",8,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",9,
,,,"50-59 years",10,
,"Legal Professionals nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",10,
,,,"30-39 years",3,
,,,"40-49 years",4,
,,,"50-59 years",3,
,,"$800-$999 ($41,600-$51,999)","20-29 years",10,
,,,"30-39 years",11,
,,,"40-49 years",4,
,,,"50-59 years",0,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",14,
,,,"30-39 years",3,
,,,"40-49 years",3,
,,,"50-59 years",3,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",11,
,,,"30-39 years",9,
,,,"40-49 years",11,
,,,"50-59 years",5,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",13,
,,,"30-39 years",25,
,,,"40-49 years",16,
,,,"50-59 years",9,
,,"$2,000 or more ($104,000 or more)","20-29 years",4,
,,,"30-39 years",30,
,,,"40-49 years",49,
,,,"50-59 years",43,
,"Barristers","$400-$599 ($20,800-$31,199)","20-29 years",15,
,,,"30-39 years",8,
,,,"40-49 years",6,
,,,"50-59 years",5,
,,"$600-$799 ($31,200-$41,599)","20-29 years",15,
,,,"30-39 years",17,
,,,"40-49 years",10,
,,,"50-59 years",7,
,,"$800-$999 ($41,600-$51,999)","20-29 years",27,
,,,"30-39 years",35,
,,,"40-49 years",24,
,,,"50-59 years",22,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",91,
,,,"30-39 years",72,
,,,"40-49 years",52,
,,,"50-59 years",45,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",88,
,,,"30-39 years",157,
,,,"40-49 years",116,
,,,"50-59 years",61,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",87,
,,,"30-39 years",255,
,,,"40-49 years",247,
,,,"50-59 years",167,
,,"$2,000 or more ($104,000 or more)","20-29 years",54,
,,,"30-39 years",675,
,,,"40-49 years",1150,
,,,"50-59 years",1071,
,"Judicial and Other Legal Professionals","$400-$599 ($20,800-$31,199)","20-29 years",14,
,,,"30-39 years",9,
,,,"40-49 years",3,
,,,"50-59 years",8,
,,"$600-$799 ($31,200-$41,599)","20-29 years",45,
,,,"30-39 years",20,
,,,"40-49 years",20,
,,,"50-59 years",15,
,,"$800-$999 ($41,600-$51,999)","20-29 years",116,
,,,"30-39 years",50,
,,,"40-49 years",49,
,,,"50-59 years",39,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",246,
,,,"30-39 years",126,
,,,"40-49 years",92,
,,,"50-59 years",102,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",197,
,,,"30-39 years",192,
,,,"40-49 years",110,
,,,"50-59 years",103,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",142,
,,,"30-39 years",303,
,,,"40-49 years",196,
,,,"50-59 years",147,
,,"$2,000 or more ($104,000 or more)","20-29 years",79,
,,,"30-39 years",505,
,,,"40-49 years",750,
,,,"50-59 years",1051,
,"Solicitors","$400-$599 ($20,800-$31,199)","20-29 years",96,
,,,"30-39 years",52,
,,,"40-49 years",64,
,,,"50-59 years",68,
,,"$600-$799 ($31,200-$41,599)","20-29 years",517,
,,,"30-39 years",150,
,,,"40-49 years",102,
,,,"50-59 years",130,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1065,
,,,"30-39 years",279,
,,,"40-49 years",191,
,,,"50-59 years",198,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1941,
,,,"30-39 years",604,
,,,"40-49 years",362,
,,,"50-59 years",349,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",2345,
,,,"30-39 years",935,
,,,"40-49 years",453,
,,,"50-59 years",444,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",2618,
,,,"30-39 years",2144,
,,,"40-49 years",1082,
,,,"50-59 years",1018,
,,"$2,000 or more ($104,000 or more)","20-29 years",1496,
,,,"30-39 years",6465,
,,,"40-49 years",5501,
,,,"50-59 years",4675,
,"Social and Welfare Professionals nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",6,
,,,"40-49 years",0,
,,,"50-59 years",3,
,,"$600-$799 ($31,200-$41,599)","20-29 years",12,
,,,"30-39 years",3,
,,,"40-49 years",6,
,,,"50-59 years",12,
,,"$800-$999 ($41,600-$51,999)","20-29 years",24,
,,,"30-39 years",24,
,,,"40-49 years",18,
,,,"50-59 years",14,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",50,
,,,"30-39 years",30,
,,,"40-49 years",16,
,,,"50-59 years",21,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",13,
,,,"30-39 years",28,
,,,"40-49 years",21,
,,,"50-59 years",19,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",8,
,,,"30-39 years",27,
,,,"40-49 years",15,
,,,"50-59 years",22,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",3,
,,,"40-49 years",3,
,,,"50-59 years",5,
,"Counsellors","$400-$599 ($20,800-$31,199)","20-29 years",43,
,,,"30-39 years",51,
,,,"40-49 years",59,
,,,"50-59 years",55,
,,"$600-$799 ($31,200-$41,599)","20-29 years",170,
,,,"30-39 years",147,
,,,"40-49 years",140,
,,,"50-59 years",127,
,,"$800-$999 ($41,600-$51,999)","20-29 years",323,
,,,"30-39 years",294,
,,,"40-49 years",314,
,,,"50-59 years",336,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",526,
,,,"30-39 years",450,
,,,"40-49 years",489,
,,,"50-59 years",504,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",276,
,,,"30-39 years",370,
,,,"40-49 years",377,
,,,"50-59 years",463,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",119,
,,,"30-39 years",340,
,,,"40-49 years",508,
,,,"50-59 years",784,
,,"$2,000 or more ($104,000 or more)","20-29 years",16,
,,,"30-39 years",53,
,,,"40-49 years",100,
,,,"50-59 years",121,
,"Ministers of Religion","$400-$599 ($20,800-$31,199)","20-29 years",160,
,,,"30-39 years",254,
,,,"40-49 years",370,
,,,"50-59 years",481,
,,"$600-$799 ($31,200-$41,599)","20-29 years",227,
,,,"30-39 years",322,
,,,"40-49 years",431,
,,,"50-59 years",463,
,,"$800-$999 ($41,600-$51,999)","20-29 years",143,
,,,"30-39 years",430,
,,,"40-49 years",492,
,,,"50-59 years",540,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",102,
,,,"30-39 years",412,
,,,"40-49 years",531,
,,,"50-59 years",675,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",36,
,,,"30-39 years",251,
,,,"40-49 years",325,
,,,"50-59 years",381,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",5,
,,,"30-39 years",123,
,,,"40-49 years",215,
,,,"50-59 years",209,
,,"$2,000 or more ($104,000 or more)","20-29 years",7,
,,,"30-39 years",24,
,,,"40-49 years",65,
,,,"50-59 years",77,
,"Psychologists","$400-$599 ($20,800-$31,199)","20-29 years",27,
,,,"30-39 years",16,
,,,"40-49 years",23,
,,,"50-59 years",27,
,,"$600-$799 ($31,200-$41,599)","20-29 years",56,
,,,"30-39 years",41,
,,,"40-49 years",50,
,,,"50-59 years",58,
,,"$800-$999 ($41,600-$51,999)","20-29 years",180,
,,,"30-39 years",105,
,,,"40-49 years",81,
,,,"50-59 years",97,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",476,
,,,"30-39 years",340,
,,,"40-49 years",234,
,,,"50-59 years",240,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",480,
,,,"30-39 years",578,
,,,"40-49 years",345,
,,,"50-59 years",375,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",383,
,,,"30-39 years",1022,
,,,"40-49 years",745,
,,,"50-59 years",893,
,,"$2,000 or more ($104,000 or more)","20-29 years",67,
,,,"30-39 years",401,
,,,"40-49 years",540,
,,,"50-59 years",654,
,"Social Professionals","$400-$599 ($20,800-$31,199)","20-29 years",44,
,,,"30-39 years",32,
,,,"40-49 years",35,
,,,"50-59 years",55,
,,"$600-$799 ($31,200-$41,599)","20-29 years",86,
,,,"30-39 years",72,
,,,"40-49 years",69,
,,,"50-59 years",66,
,,"$800-$999 ($41,600-$51,999)","20-29 years",132,
,,,"30-39 years",113,
,,,"40-49 years",107,
,,,"50-59 years",97,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",163,
,,,"30-39 years",174,
,,,"40-49 years",135,
,,,"50-59 years",147,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",130,
,,,"30-39 years",185,
,,,"40-49 years",146,
,,,"50-59 years",123,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",80,
,,,"30-39 years",210,
,,,"40-49 years",194,
,,,"50-59 years",150,
,,"$2,000 or more ($104,000 or more)","20-29 years",29,
,,,"30-39 years",92,
,,,"40-49 years",126,
,,,"50-59 years",127,
,"Social Workers","$400-$599 ($20,800-$31,199)","20-29 years",47,
,,,"30-39 years",23,
,,,"40-49 years",28,
,,,"50-59 years",28,
,,"$600-$799 ($31,200-$41,599)","20-29 years",183,
,,,"30-39 years",134,
,,,"40-49 years",118,
,,,"50-59 years",113,
,,"$800-$999 ($41,600-$51,999)","20-29 years",652,
,,,"30-39 years",389,
,,,"40-49 years",317,
,,,"50-59 years",251,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",880,
,,,"30-39 years",647,
,,,"40-49 years",552,
,,,"50-59 years",539,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",365,
,,,"30-39 years",681,
,,,"40-49 years",509,
,,,"50-59 years",603,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",168,
,,,"30-39 years",542,
,,,"40-49 years",581,
,,,"50-59 years",760,
,,"$2,000 or more ($104,000 or more)","20-29 years",6,
,,,"30-39 years",57,
,,,"40-49 years",95,
,,,"50-59 years",105,
,"Welfare, Recreation and Community Arts Workers","$400-$599 ($20,800-$31,199)","20-29 years",94,
,,,"30-39 years",71,
,,,"40-49 years",83,
,,,"50-59 years",85,
,,"$600-$799 ($31,200-$41,599)","20-29 years",347,
,,,"30-39 years",255,
,,,"40-49 years",313,
,,,"50-59 years",269,
,,"$800-$999 ($41,600-$51,999)","20-29 years",702,
,,,"30-39 years",544,
,,,"40-49 years",624,
,,,"50-59 years",526,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",820,
,,,"30-39 years",774,
,,,"40-49 years",769,
,,,"50-59 years",640,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",370,
,,,"30-39 years",579,
,,,"40-49 years",577,
,,,"50-59 years",450,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",188,
,,,"30-39 years",503,
,,,"40-49 years",535,
,,,"50-59 years",540,
,,"$2,000 or more ($104,000 or more)","20-29 years",15,
,,,"30-39 years",58,
,,,"40-49 years",118,
,,,"50-59 years",103,
,"Technicians and Trades Workers nfd","$400-$599 ($20,800-$31,199)","20-29 years",280,
,,,"30-39 years",114,
,,,"40-49 years",123,
,,,"50-59 years",142,
,,"$600-$799 ($31,200-$41,599)","20-29 years",569,
,,,"30-39 years",380,
,,,"40-49 years",416,
,,,"50-59 years",329,
,,"$800-$999 ($41,600-$51,999)","20-29 years",678,
,,,"30-39 years",569,
,,,"40-49 years",592,
,,,"50-59 years",467,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",662,
,,,"30-39 years",705,
,,,"40-49 years",795,
,,,"50-59 years",667,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",385,
,,,"30-39 years",590,
,,,"40-49 years",695,
,,,"50-59 years",507,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",346,
,,,"30-39 years",624,
,,,"40-49 years",808,
,,,"50-59 years",569,
,,"$2,000 or more ($104,000 or more)","20-29 years",175,
,,,"30-39 years",447,
,,,"40-49 years",526,
,,,"50-59 years",369,
,"Engineering, ICT and Science Technicians nfd","$400-$599 ($20,800-$31,199)","20-29 years",48,
,,,"30-39 years",29,
,,,"40-49 years",14,
,,,"50-59 years",5,
,,"$600-$799 ($31,200-$41,599)","20-29 years",191,
,,,"30-39 years",99,
,,,"40-49 years",102,
,,,"50-59 years",73,
,,"$800-$999 ($41,600-$51,999)","20-29 years",192,
,,,"30-39 years",179,
,,,"40-49 years",179,
,,,"50-59 years",157,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",166,
,,,"30-39 years",225,
,,,"40-49 years",252,
,,,"50-59 years",272,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",84,
,,,"30-39 years",155,
,,,"40-49 years",247,
,,,"50-59 years",230,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",53,
,,,"30-39 years",99,
,,,"40-49 years",191,
,,,"50-59 years",211,
,,"$2,000 or more ($104,000 or more)","20-29 years",14,
,,,"30-39 years",52,
,,,"40-49 years",83,
,,,"50-59 years",79,
,"Agricultural, Medical and Science Technicians nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",0,
,,"$600-$799 ($31,200-$41,599)","20-29 years",6,
,,,"30-39 years",0,
,,,"40-49 years",5,
,,,"50-59 years",3,
,,"$800-$999 ($41,600-$51,999)","20-29 years",15,
,,,"30-39 years",13,
,,,"40-49 years",13,
,,,"50-59 years",3,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",10,
,,,"30-39 years",12,
,,,"40-49 years",21,
,,,"50-59 years",21,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",9,
,,,"30-39 years",13,
,,,"40-49 years",21,
,,,"50-59 years",26,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",0,
,,,"30-39 years",9,
,,,"40-49 years",9,
,,,"50-59 years",14,
,,"$2,000 or more ($104,000 or more)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",3,
,,,"50-59 years",4,
,"Agricultural Technicians","$400-$599 ($20,800-$31,199)","20-29 years",13,
,,,"30-39 years",11,
,,,"40-49 years",17,
,,,"50-59 years",13,
,,"$600-$799 ($31,200-$41,599)","20-29 years",105,
,,,"30-39 years",55,
,,,"40-49 years",32,
,,,"50-59 years",36,
,,"$800-$999 ($41,600-$51,999)","20-29 years",117,
,,,"30-39 years",86,
,,,"40-49 years",77,
,,,"50-59 years",73,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",76,
,,,"30-39 years",104,
,,,"40-49 years",93,
,,,"50-59 years",95,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",8,
,,,"30-39 years",51,
,,,"40-49 years",49,
,,,"50-59 years",71,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",5,
,,,"30-39 years",15,
,,,"40-49 years",38,
,,,"50-59 years",44,
,,"$2,000 or more ($104,000 or more)","20-29 years",3,
,,,"30-39 years",6,
,,,"40-49 years",3,
,,,"50-59 years",13,
,"Medical Technicians","$400-$599 ($20,800-$31,199)","20-29 years",336,
,,,"30-39 years",140,
,,,"40-49 years",198,
,,,"50-59 years",197,
,,"$600-$799 ($31,200-$41,599)","20-29 years",1158,
,,,"30-39 years",699,
,,,"40-49 years",827,
,,,"50-59 years",720,
,,"$800-$999 ($41,600-$51,999)","20-29 years",762,
,,,"30-39 years",638,
,,,"40-49 years",787,
,,,"50-59 years",663,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",410,
,,,"30-39 years",477,
,,,"40-49 years",565,
,,,"50-59 years",454,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",118,
,,,"30-39 years",219,
,,,"40-49 years",283,
,,,"50-59 years",283,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",64,
,,,"30-39 years",150,
,,,"40-49 years",191,
,,,"50-59 years",170,
,,"$2,000 or more ($104,000 or more)","20-29 years",15,
,,,"30-39 years",57,
,,,"40-49 years",71,
,,,"50-59 years",56,
,"Primary Products Inspectors","$400-$599 ($20,800-$31,199)","20-29 years",3,
,,,"30-39 years",4,
,,,"40-49 years",7,
,,,"50-59 years",8,
,,"$600-$799 ($31,200-$41,599)","20-29 years",28,
,,,"30-39 years",25,
,,,"40-49 years",28,
,,,"50-59 years",38,
,,"$800-$999 ($41,600-$51,999)","20-29 years",85,
,,,"30-39 years",76,
,,,"40-49 years",72,
,,,"50-59 years",70,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",118,
,,,"30-39 years",220,
,,,"40-49 years",217,
,,,"50-59 years",212,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",46,
,,,"30-39 years",173,
,,,"40-49 years",148,
,,,"50-59 years",167,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",22,
,,,"30-39 years",112,
,,,"40-49 years",149,
,,,"50-59 years",128,
,,"$2,000 or more ($104,000 or more)","20-29 years",5,
,,,"30-39 years",27,
,,,"40-49 years",24,
,,,"50-59 years",36,
,"Science Technicians","$400-$599 ($20,800-$31,199)","20-29 years",117,
,,,"30-39 years",30,
,,,"40-49 years",62,
,,,"50-59 years",54,
,,"$600-$799 ($31,200-$41,599)","20-29 years",603,
,,,"30-39 years",272,
,,,"40-49 years",275,
,,,"50-59 years",224,
,,"$800-$999 ($41,600-$51,999)","20-29 years",712,
,,,"30-39 years",493,
,,,"40-49 years",483,
,,,"50-59 years",438,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",512,
,,,"30-39 years",536,
,,,"40-49 years",498,
,,,"50-59 years",477,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",263,
,,,"30-39 years",377,
,,,"40-49 years",374,
,,,"50-59 years",310,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",165,
,,,"30-39 years",290,
,,,"40-49 years",319,
,,,"50-59 years",303,
,,"$2,000 or more ($104,000 or more)","20-29 years",49,
,,,"30-39 years",88,
,,,"40-49 years",95,
,,,"50-59 years",110,
,"Building and Engineering Technicians nfd","$400-$599 ($20,800-$31,199)","20-29 years",104,
,,,"30-39 years",25,
,,,"40-49 years",22,
,,,"50-59 years",18,
,,"$600-$799 ($31,200-$41,599)","20-29 years",286,
,,,"30-39 years",73,
,,,"40-49 years",58,
,,,"50-59 years",37,
,,"$800-$999 ($41,600-$51,999)","20-29 years",365,
,,,"30-39 years",199,
,,,"40-49 years",144,
,,,"50-59 years",107,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",332,
,,,"30-39 years",340,
,,,"40-49 years",271,
,,,"50-59 years",235,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",186,
,,,"30-39 years",300,
,,,"40-49 years",286,
,,,"50-59 years",253,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",125,
,,,"30-39 years",337,
,,,"40-49 years",435,
,,,"50-59 years",355,
,,"$2,000 or more ($104,000 or more)","20-29 years",61,
,,,"30-39 years",278,
,,,"40-49 years",343,
,,,"50-59 years",286,
,"Architectural, Building and Surveying Technicians","$400-$599 ($20,800-$31,199)","20-29 years",281,
,,,"30-39 years",101,
,,,"40-49 years",132,
,,,"50-59 years",150,
,,"$600-$799 ($31,200-$41,599)","20-29 years",1002,
,,,"30-39 years",430,
,,,"40-49 years",402,
,,,"50-59 years",328,
,,"$800-$999 ($41,600-$51,999)","20-29 years",1377,
,,,"30-39 years",1038,
,,,"40-49 years",906,
,,,"50-59 years",646,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",1623,
,,,"30-39 years",1944,
,,,"40-49 years",1720,
,,,"50-59 years",1369,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",1184,
,,,"30-39 years",2125,
,,,"40-49 years",1970,
,,,"50-59 years",1566,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",1037,
,,,"30-39 years",2920,
,,,"40-49 years",2946,
,,,"50-59 years",2141,
,,"$2,000 or more ($104,000 or more)","20-29 years",670,
,,,"30-39 years",2736,
,,,"40-49 years",2967,
,,,"50-59 years",2253,
,"Civil Engineering Draftspersons and Technicians","$400-$599 ($20,800-$31,199)","20-29 years",141,
,,,"30-39 years",11,
,,,"40-49 years",14,
,,,"50-59 years",18,
,,"$600-$799 ($31,200-$41,599)","20-29 years",368,
,,,"30-39 years",118,
,,,"40-49 years",53,
,,,"50-59 years",54,
,,"$800-$999 ($41,600-$51,999)","20-29 years",587,
,,,"30-39 years",273,
,,,"40-49 years",155,
,,,"50-59 years",117,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",559,
,,,"30-39 years",414,
,,,"40-49 years",302,
,,,"50-59 years",295,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",388,
,,,"30-39 years",441,
,,,"40-49 years",334,
,,,"50-59 years",317,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",259,
,,,"30-39 years",533,
,,,"40-49 years",463,
,,,"50-59 years",423,
,,"$2,000 or more ($104,000 or more)","20-29 years",110,
,,,"30-39 years",425,
,,,"40-49 years",366,
,,,"50-59 years",322,
,"Electrical Engineering Draftspersons and Technicians","$400-$599 ($20,800-$31,199)","20-29 years",34,
,,,"30-39 years",9,
,,,"40-49 years",17,
,,,"50-59 years",20,
,,"$600-$799 ($31,200-$41,599)","20-29 years",151,
,,,"30-39 years",60,
,,,"40-49 years",74,
,,,"50-59 years",64,
,,"$800-$999 ($41,600-$51,999)","20-29 years",199,
,,,"30-39 years",125,
,,,"40-49 years",113,
,,,"50-59 years",83,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",243,
,,,"30-39 years",221,
,,,"40-49 years",215,
,,,"50-59 years",200,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",206,
,,,"30-39 years",256,
,,,"40-49 years",297,
,,,"50-59 years",246,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",259,
,,,"30-39 years",468,
,,,"40-49 years",546,
,,,"50-59 years",481,
,,"$2,000 or more ($104,000 or more)","20-29 years",217,
,,,"30-39 years",479,
,,,"40-49 years",600,
,,,"50-59 years",429,
