Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP - 4 Digit Level, AGE10P - Age in Ten Year Groups and INCP Total Personal Income (weekly)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP - 4 Digit Level","AGE10P - Age in Ten Year Groups","INCP Total Personal Income (weekly)",
,,,"$1,250-$1,499 ($65,000-$77,999)",580,
,,,"$1,500-$1,749 ($78,000-$90,999)",854,
,,,"$1,750-$1,999 ($91,000-$103,999)",533,
,,,"$2,000-$2,999 ($104,000-$155,999)",1481,
,,,"$3,000 or more ($156,000 or more)",2247,
,,"20-29 years","$400-$499 ($20,800-$25,999)",23,
,,,"$500-$649 ($26,000-$33,799)",71,
,,,"$650-$799 ($33,800-$41,599)",90,
,,,"$800-$999 ($41,600-$51,999)",134,
,,,"$1,000-$1,249 ($52,000-$64,999)",200,
,,,"$1,250-$1,499 ($65,000-$77,999)",155,
,,,"$1,500-$1,749 ($78,000-$90,999)",148,
,,,"$1,750-$1,999 ($91,000-$103,999)",97,
,,,"$2,000-$2,999 ($104,000-$155,999)",151,
,,,"$3,000 or more ($156,000 or more)",144,
,"General Managers","50-59 years","$400-$499 ($20,800-$25,999)",42,
,,,"$500-$649 ($26,000-$33,799)",83,
,,,"$650-$799 ($33,800-$41,599)",119,
,,,"$800-$999 ($41,600-$51,999)",264,
,,,"$1,000-$1,249 ($52,000-$64,999)",561,
,,,"$1,250-$1,499 ($65,000-$77,999)",664,
,,,"$1,500-$1,749 ($78,000-$90,999)",998,
,,,"$1,750-$1,999 ($91,000-$103,999)",975,
,,,"$2,000-$2,999 ($104,000-$155,999)",3113,
,,,"$3,000 or more ($156,000 or more)",5404,
,,"40-49 years","$400-$499 ($20,800-$25,999)",43,
,,,"$500-$649 ($26,000-$33,799)",89,
,,,"$650-$799 ($33,800-$41,599)",141,
,,,"$800-$999 ($41,600-$51,999)",327,
,,,"$1,000-$1,249 ($52,000-$64,999)",681,
,,,"$1,250-$1,499 ($65,000-$77,999)",915,
,,,"$1,500-$1,749 ($78,000-$90,999)",1361,
,,,"$1,750-$1,999 ($91,000-$103,999)",1380,
,,,"$2,000-$2,999 ($104,000-$155,999)",4249,
,,,"$3,000 or more ($156,000 or more)",7198,
,,"30-39 years","$400-$499 ($20,800-$25,999)",29,
