Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP - 4 Digit Level, AGE10P - Age in Ten Year Groups and INCP Total Personal Income (weekly)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP - 4 Digit Level","AGE10P - Age in Ten Year Groups","INCP Total Personal Income (weekly)",
,,,"$3,000 or more ($156,000 or more)",8,
,,"20-29 years","$400-$499 ($20,800-$25,999)",6,
,,,"$500-$649 ($26,000-$33,799)",13,
,,,"$650-$799 ($33,800-$41,599)",27,
,,,"$800-$999 ($41,600-$51,999)",42,
,,,"$1,000-$1,249 ($52,000-$64,999)",40,
,,,"$1,250-$1,499 ($65,000-$77,999)",18,
,,,"$1,500-$1,749 ($78,000-$90,999)",8,
,,,"$1,750-$1,999 ($91,000-$103,999)",9,
,,,"$2,000-$2,999 ($104,000-$155,999)",3,
,,,"$3,000 or more ($156,000 or more)",0,
,"Dental Practitioners","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",14,
,,,"$800-$999 ($41,600-$51,999)",16,
,,,"$1,000-$1,249 ($52,000-$64,999)",39,
,,,"$1,250-$1,499 ($65,000-$77,999)",51,
,,,"$1,500-$1,749 ($78,000-$90,999)",97,
,,,"$1,750-$1,999 ($91,000-$103,999)",84,
,,,"$2,000-$2,999 ($104,000-$155,999)",330,
,,,"$3,000 or more ($156,000 or more)",912,
,,"40-49 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",16,
,,,"$800-$999 ($41,600-$51,999)",23,
,,,"$1,000-$1,249 ($52,000-$64,999)",36,
,,,"$1,250-$1,499 ($65,000-$77,999)",52,
,,,"$1,500-$1,749 ($78,000-$90,999)",108,
,,,"$1,750-$1,999 ($91,000-$103,999)",116,
,,,"$2,000-$2,999 ($104,000-$155,999)",397,
,,,"$3,000 or more ($156,000 or more)",1014,
,,"30-39 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",6,
,,,"$650-$799 ($33,800-$41,599)",21,
,,,"$800-$999 ($41,600-$51,999)",31,
,,,"$1,000-$1,249 ($52,000-$64,999)",65,
,,,"$1,250-$1,499 ($65,000-$77,999)",95,
,,,"$1,500-$1,749 ($78,000-$90,999)",156,
,,,"$1,750-$1,999 ($91,000-$103,999)",210,
,,,"$2,000-$2,999 ($104,000-$155,999)",653,
,,,"$3,000 or more ($156,000 or more)",1111,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",12,
,,,"$650-$799 ($33,800-$41,599)",24,
,,,"$800-$999 ($41,600-$51,999)",41,
,,,"$1,000-$1,249 ($52,000-$64,999)",87,
,,,"$1,250-$1,499 ($65,000-$77,999)",85,
,,,"$1,500-$1,749 ($78,000-$90,999)",170,
,,,"$1,750-$1,999 ($91,000-$103,999)",202,
,,,"$2,000-$2,999 ($104,000-$155,999)",487,
,,,"$3,000 or more ($156,000 or more)",471,
,"Occupational Therapists","50-59 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",7,
,,,"$650-$799 ($33,800-$41,599)",3,
,,,"$800-$999 ($41,600-$51,999)",22,
,,,"$1,000-$1,249 ($52,000-$64,999)",63,
,,,"$1,250-$1,499 ($65,000-$77,999)",107,
,,,"$1,500-$1,749 ($78,000-$90,999)",151,
,,,"$1,750-$1,999 ($91,000-$103,999)",108,
,,,"$2,000-$2,999 ($104,000-$155,999)",97,
,,,"$3,000 or more ($156,000 or more)",21,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",8,
,,,"$650-$799 ($33,800-$41,599)",15,
,,,"$800-$999 ($41,600-$51,999)",31,
,,,"$1,000-$1,249 ($52,000-$64,999)",82,
,,,"$1,250-$1,499 ($65,000-$77,999)",139,
,,,"$1,500-$1,749 ($78,000-$90,999)",229,
,,,"$1,750-$1,999 ($91,000-$103,999)",189,
,,,"$2,000-$2,999 ($104,000-$155,999)",170,
,,,"$3,000 or more ($156,000 or more)",31,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",6,
,,,"$650-$799 ($33,800-$41,599)",8,
,,,"$800-$999 ($41,600-$51,999)",49,
,,,"$1,000-$1,249 ($52,000-$64,999)",176,
,,,"$1,250-$1,499 ($65,000-$77,999)",348,
,,,"$1,500-$1,749 ($78,000-$90,999)",517,
,,,"$1,750-$1,999 ($91,000-$103,999)",346,
,,,"$2,000-$2,999 ($104,000-$155,999)",234,
,,,"$3,000 or more ($156,000 or more)",26,
,,"20-29 years","$400-$499 ($20,800-$25,999)",6,
,,,"$500-$649 ($26,000-$33,799)",16,
,,,"$650-$799 ($33,800-$41,599)",47,
,,,"$800-$999 ($41,600-$51,999)",241,
,,,"$1,000-$1,249 ($52,000-$64,999)",1188,
,,,"$1,250-$1,499 ($65,000-$77,999)",1022,
,,,"$1,500-$1,749 ($78,000-$90,999)",502,
,,,"$1,750-$1,999 ($91,000-$103,999)",191,
,,,"$2,000-$2,999 ($104,000-$155,999)",75,
,,,"$3,000 or more ($156,000 or more)",7,
,"Physiotherapists","50-59 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",15,
,,,"$650-$799 ($33,800-$41,599)",19,
,,,"$800-$999 ($41,600-$51,999)",56,
,,,"$1,000-$1,249 ($52,000-$64,999)",105,
,,,"$1,250-$1,499 ($65,000-$77,999)",166,
,,,"$1,500-$1,749 ($78,000-$90,999)",297,
,,,"$1,750-$1,999 ($91,000-$103,999)",234,
,,,"$2,000-$2,999 ($104,000-$155,999)",351,
,,,"$3,000 or more ($156,000 or more)",122,
,,"40-49 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",15,
,,,"$650-$799 ($33,800-$41,599)",27,
,,,"$800-$999 ($41,600-$51,999)",64,
,,,"$1,000-$1,249 ($52,000-$64,999)",115,
,,,"$1,250-$1,499 ($65,000-$77,999)",210,
,,,"$1,500-$1,749 ($78,000-$90,999)",406,
,,,"$1,750-$1,999 ($91,000-$103,999)",326,
,,,"$2,000-$2,999 ($104,000-$155,999)",480,
,,,"$3,000 or more ($156,000 or more)",191,
,,"30-39 years","$400-$499 ($20,800-$25,999)",7,
,,,"$500-$649 ($26,000-$33,799)",13,
,,,"$650-$799 ($33,800-$41,599)",27,
,,,"$800-$999 ($41,600-$51,999)",87,
,,,"$1,000-$1,249 ($52,000-$64,999)",316,
,,,"$1,250-$1,499 ($65,000-$77,999)",524,
,,,"$1,500-$1,749 ($78,000-$90,999)",890,
,,,"$1,750-$1,999 ($91,000-$103,999)",683,
,,,"$2,000-$2,999 ($104,000-$155,999)",626,
,,,"$3,000 or more ($156,000 or more)",178,
,,"20-29 years","$400-$499 ($20,800-$25,999)",10,
,,,"$500-$649 ($26,000-$33,799)",30,
,,,"$650-$799 ($33,800-$41,599)",81,
,,,"$800-$999 ($41,600-$51,999)",372,
,,,"$1,000-$1,249 ($52,000-$64,999)",1633,
,,,"$1,250-$1,499 ($65,000-$77,999)",1652,
,,,"$1,500-$1,749 ($78,000-$90,999)",961,
,,,"$1,750-$1,999 ($91,000-$103,999)",406,
,,,"$2,000-$2,999 ($104,000-$155,999)",206,
,,,"$3,000 or more ($156,000 or more)",28,
,"Podiatrists","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",7,
,,,"$650-$799 ($33,800-$41,599)",7,
,,,"$800-$999 ($41,600-$51,999)",22,
,,,"$1,000-$1,249 ($52,000-$64,999)",33,
,,,"$1,250-$1,499 ($65,000-$77,999)",46,
,,,"$1,500-$1,749 ($78,000-$90,999)",50,
,,,"$1,750-$1,999 ($91,000-$103,999)",30,
,,,"$2,000-$2,999 ($104,000-$155,999)",58,
,,,"$3,000 or more ($156,000 or more)",27,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",8,
,,,"$800-$999 ($41,600-$51,999)",23,
,,,"$1,000-$1,249 ($52,000-$64,999)",50,
,,,"$1,250-$1,499 ($65,000-$77,999)",54,
,,,"$1,500-$1,749 ($78,000-$90,999)",104,
,,,"$1,750-$1,999 ($91,000-$103,999)",76,
,,,"$2,000-$2,999 ($104,000-$155,999)",111,
,,,"$3,000 or more ($156,000 or more)",59,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",4,
,,,"$650-$799 ($33,800-$41,599)",14,
,,,"$800-$999 ($41,600-$51,999)",16,
,,,"$1,000-$1,249 ($52,000-$64,999)",71,
,,,"$1,250-$1,499 ($65,000-$77,999)",83,
,,,"$1,500-$1,749 ($78,000-$90,999)",134,
,,,"$1,750-$1,999 ($91,000-$103,999)",90,
,,,"$2,000-$2,999 ($104,000-$155,999)",127,
,,,"$3,000 or more ($156,000 or more)",53,
,,"20-29 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",8,
,,,"$650-$799 ($33,800-$41,599)",20,
,,,"$800-$999 ($41,600-$51,999)",64,
,,,"$1,000-$1,249 ($52,000-$64,999)",200,
,,,"$1,250-$1,499 ($65,000-$77,999)",207,
,,,"$1,500-$1,749 ($78,000-$90,999)",151,
,,,"$1,750-$1,999 ($91,000-$103,999)",74,
,,,"$2,000-$2,999 ($104,000-$155,999)",50,
,,,"$3,000 or more ($156,000 or more)",10,
,"Audiologists and Speech Pathologists \ Therapists","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",10,
,,,"$650-$799 ($33,800-$41,599)",8,
,,,"$800-$999 ($41,600-$51,999)",22,
,,,"$1,000-$1,249 ($52,000-$64,999)",61,
,,,"$1,250-$1,499 ($65,000-$77,999)",66,
,,,"$1,500-$1,749 ($78,000-$90,999)",108,
,,,"$1,750-$1,999 ($91,000-$103,999)",83,
,,,"$2,000-$2,999 ($104,000-$155,999)",99,
,,,"$3,000 or more ($156,000 or more)",20,
,,"40-49 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",11,
,,,"$650-$799 ($33,800-$41,599)",20,
,,,"$800-$999 ($41,600-$51,999)",29,
,,,"$1,000-$1,249 ($52,000-$64,999)",101,
,,,"$1,250-$1,499 ($65,000-$77,999)",125,
,,,"$1,500-$1,749 ($78,000-$90,999)",163,
,,,"$1,750-$1,999 ($91,000-$103,999)",136,
,,,"$2,000-$2,999 ($104,000-$155,999)",156,
,,,"$3,000 or more ($156,000 or more)",31,
,,"30-39 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",11,
,,,"$650-$799 ($33,800-$41,599)",13,
,,,"$800-$999 ($41,600-$51,999)",49,
,,,"$1,000-$1,249 ($52,000-$64,999)",146,
,,,"$1,250-$1,499 ($65,000-$77,999)",253,
,,,"$1,500-$1,749 ($78,000-$90,999)",351,
,,,"$1,750-$1,999 ($91,000-$103,999)",239,
,,,"$2,000-$2,999 ($104,000-$155,999)",184,
,,,"$3,000 or more ($156,000 or more)",30,
,,"20-29 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",16,
,,,"$650-$799 ($33,800-$41,599)",54,
,,,"$800-$999 ($41,600-$51,999)",195,
,,,"$1,000-$1,249 ($52,000-$64,999)",751,
,,,"$1,250-$1,499 ($65,000-$77,999)",642,
,,,"$1,500-$1,749 ($78,000-$90,999)",347,
,,,"$1,750-$1,999 ($91,000-$103,999)",115,
,,,"$2,000-$2,999 ($104,000-$155,999)",68,
,,,"$3,000 or more ($156,000 or more)",4,
,"Medical Practitioners, nfd","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",5,
,,,"$1,250-$1,499 ($65,000-$77,999)",9,
,,,"$1,500-$1,749 ($78,000-$90,999)",5,
,,,"$1,750-$1,999 ($91,000-$103,999)",6,
,,,"$2,000-$2,999 ($104,000-$155,999)",15,
,,,"$3,000 or more ($156,000 or more)",193,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",5,
,,,"$1,500-$1,749 ($78,000-$90,999)",13,
,,,"$1,750-$1,999 ($91,000-$103,999)",12,
,,,"$2,000-$2,999 ($104,000-$155,999)",46,
,,,"$3,000 or more ($156,000 or more)",215,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",3,
,,,"$1,250-$1,499 ($65,000-$77,999)",16,
,,,"$1,500-$1,749 ($78,000-$90,999)",34,
,,,"$1,750-$1,999 ($91,000-$103,999)",68,
,,,"$2,000-$2,999 ($104,000-$155,999)",187,
,,,"$3,000 or more ($156,000 or more)",111,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",4,
,,,"$650-$799 ($33,800-$41,599)",4,
,,,"$800-$999 ($41,600-$51,999)",5,
,,,"$1,000-$1,249 ($52,000-$64,999)",3,
,,,"$1,250-$1,499 ($65,000-$77,999)",22,
,,,"$1,500-$1,749 ($78,000-$90,999)",54,
,,,"$1,750-$1,999 ($91,000-$103,999)",48,
,,,"$2,000-$2,999 ($104,000-$155,999)",90,
,,,"$3,000 or more ($156,000 or more)",10,
,"General Practitioners and Resident Medical Officers","50-59 years","$400-$499 ($20,800-$25,999)",11,
,,,"$500-$649 ($26,000-$33,799)",17,
,,,"$650-$799 ($33,800-$41,599)",27,
,,,"$800-$999 ($41,600-$51,999)",41,
,,,"$1,000-$1,249 ($52,000-$64,999)",81,
,,,"$1,250-$1,499 ($65,000-$77,999)",117,
,,,"$1,500-$1,749 ($78,000-$90,999)",216,
,,,"$1,750-$1,999 ($91,000-$103,999)",283,
,,,"$2,000-$2,999 ($104,000-$155,999)",1133,
,,,"$3,000 or more ($156,000 or more)",5248,
,,"40-49 years","$400-$499 ($20,800-$25,999)",7,
,,,"$500-$649 ($26,000-$33,799)",11,
,,,"$650-$799 ($33,800-$41,599)",20,
,,,"$800-$999 ($41,600-$51,999)",42,
,,,"$1,000-$1,249 ($52,000-$64,999)",111,
,,,"$1,250-$1,499 ($65,000-$77,999)",170,
,,,"$1,500-$1,749 ($78,000-$90,999)",298,
,,,"$1,750-$1,999 ($91,000-$103,999)",431,
,,,"$2,000-$2,999 ($104,000-$155,999)",1376,
,,,"$3,000 or more ($156,000 or more)",5544,
,,"30-39 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",8,
,,,"$650-$799 ($33,800-$41,599)",23,
,,,"$800-$999 ($41,600-$51,999)",64,
,,,"$1,000-$1,249 ($52,000-$64,999)",292,
,,,"$1,250-$1,499 ($65,000-$77,999)",791,
,,,"$1,500-$1,749 ($78,000-$90,999)",1117,
,,,"$1,750-$1,999 ($91,000-$103,999)",1373,
,,,"$2,000-$2,999 ($104,000-$155,999)",3308,
,,,"$3,000 or more ($156,000 or more)",3476,
,,"20-29 years","$400-$499 ($20,800-$25,999)",11,
,,,"$500-$649 ($26,000-$33,799)",24,
,,,"$650-$799 ($33,800-$41,599)",45,
,,,"$800-$999 ($41,600-$51,999)",135,
,,,"$1,000-$1,249 ($52,000-$64,999)",1006,
,,,"$1,250-$1,499 ($65,000-$77,999)",2364,
,,,"$1,500-$1,749 ($78,000-$90,999)",1960,
,,,"$1,750-$1,999 ($91,000-$103,999)",1374,
,,,"$2,000-$2,999 ($104,000-$155,999)",1444,
,,,"$3,000 or more ($156,000 or more)",289,
,"Anaesthetists","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",5,
,,,"$1,250-$1,499 ($65,000-$77,999)",3,
,,,"$1,500-$1,749 ($78,000-$90,999)",5,
,,,"$1,750-$1,999 ($91,000-$103,999)",0,
,,,"$2,000-$2,999 ($104,000-$155,999)",19,
,,,"$3,000 or more ($156,000 or more)",665,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",0,
,,,"$1,500-$1,749 ($78,000-$90,999)",3,
,,,"$1,750-$1,999 ($91,000-$103,999)",10,
,,,"$2,000-$2,999 ($104,000-$155,999)",45,
,,,"$3,000 or more ($156,000 or more)",998,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",4,
,,,"$1,500-$1,749 ($78,000-$90,999)",24,
,,,"$1,750-$1,999 ($91,000-$103,999)",71,
,,,"$2,000-$2,999 ($104,000-$155,999)",373,
,,,"$3,000 or more ($156,000 or more)",576,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",4,
,,,"$1,500-$1,749 ($78,000-$90,999)",11,
,,,"$1,750-$1,999 ($91,000-$103,999)",36,
,,,"$2,000-$2,999 ($104,000-$155,999)",105,
,,,"$3,000 or more ($156,000 or more)",7,
,"Specialist Physicians","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",6,
,,,"$1,250-$1,499 ($65,000-$77,999)",0,
,,,"$1,500-$1,749 ($78,000-$90,999)",7,
,,,"$1,750-$1,999 ($91,000-$103,999)",15,
,,,"$2,000-$2,999 ($104,000-$155,999)",67,
,,,"$3,000 or more ($156,000 or more)",1038,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",4,
,,,"$1,000-$1,249 ($52,000-$64,999)",9,
,,,"$1,250-$1,499 ($65,000-$77,999)",6,
,,,"$1,500-$1,749 ($78,000-$90,999)",28,
,,,"$1,750-$1,999 ($91,000-$103,999)",39,
,,,"$2,000-$2,999 ($104,000-$155,999)",182,
,,,"$3,000 or more ($156,000 or more)",1388,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",5,
,,,"$800-$999 ($41,600-$51,999)",7,
,,,"$1,000-$1,249 ($52,000-$64,999)",21,
,,,"$1,250-$1,499 ($65,000-$77,999)",35,
,,,"$1,500-$1,749 ($78,000-$90,999)",65,
,,,"$1,750-$1,999 ($91,000-$103,999)",174,
,,,"$2,000-$2,999 ($104,000-$155,999)",648,
,,,"$3,000 or more ($156,000 or more)",710,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",4,
,,,"$800-$999 ($41,600-$51,999)",6,
,,,"$1,000-$1,249 ($52,000-$64,999)",14,
,,,"$1,250-$1,499 ($65,000-$77,999)",29,
,,,"$1,500-$1,749 ($78,000-$90,999)",50,
,,,"$1,750-$1,999 ($91,000-$103,999)",88,
,,,"$2,000-$2,999 ($104,000-$155,999)",192,
,,,"$3,000 or more ($156,000 or more)",22,
,"Psychiatrists","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",3,
,,,"$1,000-$1,249 ($52,000-$64,999)",4,
,,,"$1,250-$1,499 ($65,000-$77,999)",5,
,,,"$1,500-$1,749 ($78,000-$90,999)",6,
,,,"$1,750-$1,999 ($91,000-$103,999)",7,
,,,"$2,000-$2,999 ($104,000-$155,999)",47,
,,,"$3,000 or more ($156,000 or more)",412,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",4,
,,,"$1,250-$1,499 ($65,000-$77,999)",7,
,,,"$1,500-$1,749 ($78,000-$90,999)",8,
,,,"$1,750-$1,999 ($91,000-$103,999)",25,
,,,"$2,000-$2,999 ($104,000-$155,999)",70,
,,,"$3,000 or more ($156,000 or more)",468,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",4,
,,,"$1,250-$1,499 ($65,000-$77,999)",10,
,,,"$1,500-$1,749 ($78,000-$90,999)",25,
,,,"$1,750-$1,999 ($91,000-$103,999)",41,
,,,"$2,000-$2,999 ($104,000-$155,999)",212,
,,,"$3,000 or more ($156,000 or more)",192,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",12,
,,,"$1,250-$1,499 ($65,000-$77,999)",12,
,,,"$1,500-$1,749 ($78,000-$90,999)",18,
,,,"$1,750-$1,999 ($91,000-$103,999)",36,
,,,"$2,000-$2,999 ($104,000-$155,999)",85,
,,,"$3,000 or more ($156,000 or more)",4,
,"Surgeons","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",4,
,,,"$800-$999 ($41,600-$51,999)",5,
,,,"$1,000-$1,249 ($52,000-$64,999)",7,
,,,"$1,250-$1,499 ($65,000-$77,999)",0,
,,,"$1,500-$1,749 ($78,000-$90,999)",3,
,,,"$1,750-$1,999 ($91,000-$103,999)",13,
,,,"$2,000-$2,999 ($104,000-$155,999)",42,
,,,"$3,000 or more ($156,000 or more)",915,
,,"40-49 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",4,
,,,"$1,000-$1,249 ($52,000-$64,999)",3,
,,,"$1,250-$1,499 ($65,000-$77,999)",6,
,,,"$1,500-$1,749 ($78,000-$90,999)",17,
,,,"$1,750-$1,999 ($91,000-$103,999)",17,
,,,"$2,000-$2,999 ($104,000-$155,999)",103,
,,,"$3,000 or more ($156,000 or more)",1333,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",6,
,,,"$1,000-$1,249 ($52,000-$64,999)",18,
,,,"$1,250-$1,499 ($65,000-$77,999)",21,
,,,"$1,500-$1,749 ($78,000-$90,999)",40,
,,,"$1,750-$1,999 ($91,000-$103,999)",80,
,,,"$2,000-$2,999 ($104,000-$155,999)",416,
,,,"$3,000 or more ($156,000 or more)",840,
,,"20-29 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",3,
,,,"$1,000-$1,249 ($52,000-$64,999)",8,
,,,"$1,250-$1,499 ($65,000-$77,999)",24,
,,,"$1,500-$1,749 ($78,000-$90,999)",46,
,,,"$1,750-$1,999 ($91,000-$103,999)",69,
,,,"$2,000-$2,999 ($104,000-$155,999)",152,
,,,"$3,000 or more ($156,000 or more)",70,
,"Other Medical Practitioners","50-59 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",10,
,,,"$650-$799 ($33,800-$41,599)",21,
,,,"$800-$999 ($41,600-$51,999)",35,
,,,"$1,000-$1,249 ($52,000-$64,999)",33,
,,,"$1,250-$1,499 ($65,000-$77,999)",22,
,,,"$1,500-$1,749 ($78,000-$90,999)",24,
,,,"$1,750-$1,999 ($91,000-$103,999)",37,
,,,"$2,000-$2,999 ($104,000-$155,999)",85,
,,,"$3,000 or more ($156,000 or more)",1434,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",7,
,,,"$650-$799 ($33,800-$41,599)",22,
,,,"$800-$999 ($41,600-$51,999)",36,
,,,"$1,000-$1,249 ($52,000-$64,999)",33,
,,,"$1,250-$1,499 ($65,000-$77,999)",25,
,,,"$1,500-$1,749 ($78,000-$90,999)",44,
,,,"$1,750-$1,999 ($91,000-$103,999)",42,
,,,"$2,000-$2,999 ($104,000-$155,999)",229,
,,,"$3,000 or more ($156,000 or more)",1678,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",7,
,,,"$650-$799 ($33,800-$41,599)",14,
,,,"$800-$999 ($41,600-$51,999)",33,
,,,"$1,000-$1,249 ($52,000-$64,999)",55,
,,,"$1,250-$1,499 ($65,000-$77,999)",72,
,,,"$1,500-$1,749 ($78,000-$90,999)",131,
,,,"$1,750-$1,999 ($91,000-$103,999)",291,
,,,"$2,000-$2,999 ($104,000-$155,999)",879,
,,,"$3,000 or more ($156,000 or more)",1024,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",9,
,,,"$650-$799 ($33,800-$41,599)",29,
,,,"$800-$999 ($41,600-$51,999)",42,
,,,"$1,000-$1,249 ($52,000-$64,999)",57,
,,,"$1,250-$1,499 ($65,000-$77,999)",100,
,,,"$1,500-$1,749 ($78,000-$90,999)",196,
,,,"$1,750-$1,999 ($91,000-$103,999)",192,
,,,"$2,000-$2,999 ($104,000-$155,999)",340,
,,,"$3,000 or more ($156,000 or more)",32,
,"Midwifery and Nursing Professionals, nfd","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
